URL_Completa,Titulo,Descripción,fecha
https://www.infolibre.es/noticias/opinion/columnas/2019/06/28/diaz_ayuso_alzamiento_bienes_96469_1023.html,Díaz Ayuso y el alzamiento (de bienes),"Es autor de ese <em>delito</em> quien enajena el bien en perjuicio de sus acreedores, pero ... El grupo Más <em>Madrid</em> ha solicitado (ver aquí) un pleno&nbsp;...",Hace 9 horas
https://www.elmundo.es/madrid/2019/06/25/5d1236d7fdddffeb8b8b458e.html,Condenado a 28 años de prisión el sicario que mató por error a un ...,"La Audiencia Provincial de <em>Madrid</em> ha condenado a penas de hasta 28 ... en paro al que confundieron con el que iba ser objeto del <em>crimen</em>. ... Al autor material se le imponen 28 años y tres meses como autor de un <em>delito</em> de <em>asesinato</em> alevoso, ... al vehículo de su víctima que estaba estacionado en la <em>calle</em>.",25 jun. 2019
https://www.lavanguardia.com/sucesos/20190607/462716469114/violador-del-ascensor-reincidente-madrid-pedro-luis-gallego-carcel.html,El “violador del ascensor” de Madrid se enfrentará a 96 años de cárcel,La Fiscalía de <em>Madrid</em> solicita 96 años de prisión para Pedro Luis Gallego ... anteriormente por dos delitos de <em>asesinato</em> y varios de violación. ... continuada; dos delitos de lesiones; y <em>delito</em> de robo con violencia. ... a la víctima en una <em>calle</em> de <em>Madrid</em> “previo lavado del cuerpo para evitar dejar vestigios”.,7 jun. 2019
https://www.es.amnesty.org/en-que-estamos/noticias/noticia/articulo/se-quien-quieras-ser-amnistia-internacional-despliega-en-chueca-una-bandera-gigante-para-el-orgullo/,“Sé quien quieras ser”: Amnistía Internacional despliega en Chueca ...,"También comienzan en <em>Madrid</em> unas fiestas que culminan con la ... Óscar, situado en la mítica <em>plaza</em> Pedro Zerolo del barrio de Chueca, en <em>Madrid</em>. ... Zak fue víctima de un <em>delito</em> de odio: urge actuar para exigir justicia para él y ... hasta que se conozca a los autores intelectuales y las causas del <em>crimen</em>.",Hace 3 horas
https://elpais.com/sociedad/2019/06/08/actualidad/1559990664_457755.html,La Guardia Civil investiga como crimen machista la muerte de una ...,La Guardia Civil investiga la muerte de una pareja de origen cubano hallada muerta con signos de violencia la mañana de este sábado en&nbsp;...,8 jun. 2019
https://www.heraldo.es/noticias/aragon/zaragoza/2019/06/13/crimen-calle-princesa-zaragoza-menor-preparo-ejecuto-asesinato-hijo-banda-latina-ddp-1320101.html,"""Este menor preparó y ejecutó el asesinato de mi hijo solo para entrar ...","""Este menor preparó y ejecutó el <em>asesinato</em> de mi hijo solo para entrar en una banda"" ... en la <em>calle</em> Princesa de Zaragoza, pero sigue muy presente en sus vidas. ... que se ha celebrado el juicio contra los tres menores acusados del <em>crimen</em>, ... En las ciudades grandes como <em>Madrid</em> o Barcelona se ve claro.",12 jun. 2019
https://majadahondamagazin.es/una-quema-de-arbustos-en-las-afueras-de-majadahonda-desata-un-fuerte-olor-a-quemado-picor-de-ojos-y-alarma-social-138915,Una quema de arbustos en las afueras de Majadahonda desata un ...,"La ciudad de Majadahonda, al noroeste de <em>Madrid</em>, se vio envuelta en la tarde de ... se la adjudicaba al incendio de una nave en la zona de <em>Plaza</em> Norte. ... Y es que empieza la época más propia para el <em>delito</em> de incendio por ... y barrios majariegos de <em>Avenida</em> de Guadarrama, <em>Parque</em> Welby, Isaac Peral,&nbsp;...",17 jun. 2019
https://www.periodicodeibiza.es/pitiusas/local/2019/06/04/1085113/jurado-emite-veredicto-culpabilidad-para-autor-del-crimen-ses-figueretes.html,El jurado emite un veredicto de culpabilidad para el autor del crimen ...,"El hombre se personó en los Juzgados de <em>Plaza</em> Castilla de <em>Madrid</em> y allí ... «Me presento hoy a la Justicia por un <em>delito</em> de sangre. ... le manifestó que había cometido «un <em>asesinato</em>», que había matado a una ... Los hechos ocurrieron la madrugada del 31 de marzo de 2017 en un piso de la <em>calle</em> Galicia.",3 jun. 2019
https://www.madridiario.es/469453/efemeride-crimen-plancha-fuencarral,El 'crimen de la plancha': la crónica negra de Fuencarral,"El '<em>crimen</em> de la plancha': la crónica negra de Fuencarral ... Manuel Pastor, vecino del número 45 de la madrileña <em>calle</em> de Fuencarral, aparecía sin ... Ingresó en la cárcel de la <em>calle</em> Quiñones de <em>Madrid</em> y fue condenada al&nbsp;...",22 jun. 2019
https://www.elconfidencial.com/espana/2019-06-10/sicarios-madrid-culpables-asesinato-preguntas_2059082/,Así funciona un jurado en Madrid: las 41 preguntas para condenar a ...,"Aunque también declararon culpables de <em>asesinato</em> a José Arbey y Johnson ... De igual forma, el jurado absolvió a ambos del <em>delito</em> de tenencia ilícita de ... que había estacionado en la <em>Avenida</em> de Córdoba, de <em>Madrid</em>, cerca de la ... de los Reyes, sito en la <em>calle</em> Naranjos número 6 de dicha localidad,&nbsp;...",9 jun. 2019
https://elpais.com/ccaa/2019/06/01/madrid/1559390942_713752.html,La policía detiene a al menos cinco aficionados más en las horas ...,"... en un festival que se celebra con motivo de la final de fútbol en la <em>plaza</em> Mayor de la capital. ... Fue arrestado por la Policía Municipal de <em>Madrid</em> por masturbarse en ... se le imputa un <em>delito</em> contra la libertad sexual, atentado contra un ... Un cuarto fue detenido en la <em>calle</em> de Jorge Juan, cerca de la zona&nbsp;...",1 jun. 2019
https://www.abc.es/sociedad/abci-todos-tenemos-culpa-planta-iveco-agacha-cabeza-delito-demasiado-comun-201905292011_noticia.html,«Todos tenemos la culpa»: la planta de Iveco agacha la cabeza por ...,"... la planta de Iveco agacha la cabeza por un <em>delito</em> demasiado común ... en la <em>Avenida</em> de Aragón, en el extrarradio de <em>Madrid</em> y colindante a&nbsp;...",29 may. 2019
https://www.elespanol.com/reportajes/20190605/snoopy-sicario-llevaba-matando-espana-culpable-asesinato/403960264_0.html,"'Snoopy', el sicario culpable de matar al empresario que confundió ...",Un Jurado Popular de la Audiencia Provincial de <em>Madrid</em> le acaba de ... otros dos sicarios del <em>asesinato</em> de un joven empresario que estaba en paro. ... Pero el Grupo II de la Brigada de <em>Crimen</em> Organizado de la Policía ... A los otros dos acusados se les considera coautores de un <em>delito</em> de <em>asesinato</em> por lo&nbsp;...,5 jun. 2019
https://www.periodicodeibiza.es/pitiusas/local/2019/06/03/1084911/acusado-matar-mujer-ibiza-reconoce-crimen-asegura-arrepiente-1.html,El acusado de matar a una mujer en Ibiza reconoce el crimen y ...,"Al hombre se le imputa un <em>delito</em> de homicidio, por el que se ... Los hechos ocurrieron el 31 de marzo de 2017 en un apartamento del edificio <em>Plaza</em>, en la <em>calle</em> ... y alertar del <em>crimen</em> en un juzgado de guardia de <em>Madrid</em>.",3 jun. 2019
https://www.europapress.es/nacional/noticia-acusaciones-populares-aseguran-pp-destruyo-ordenadores-barcenas-evitar-pruebas-caja-20190628150728.html,Las acusaciones populares aseguran que el PP destruyó los ...,"<em>MADRID</em>, 28 Jun. ... estaba usando la Sala Andalucía de la sede del PP en la <em>calle</em> Génova de <em>Madrid</em>, ... En su escrito de acusación provisional sólo atribuyó a los acusados un único <em>delito</em> de daños informáticos, pero tras la&nbsp;...",Hace 24 minutos
http://elcorreoweb.es/sevilla/el-crimen-de-los-galindos-no-ha-sido-un-crimen-perfecto-sino-la-impunidad-perfecta-ND5522179,"«El 'Crimen de Los Galindos' no ha sido un crimen perfecto, sino la ...","El '<em>Crimen</em> de las estanqueras' de Sevilla fue uno de los primeros sucesos ... de ejemplares con temas como el cuádruple <em>asesinato</em> cometido por Jarabo. ... Y desde <em>Madrid</em> se hacía el resto de labor de redacción, con reportajes, ... basado en los reportajes “de <em>calle</em>” y en el periodismo de investigación.",3 jun. 2019
https://www.lavanguardia.com/local/madrid/20190529/462559038966/el-fiscal-pide-hasta-23-anos-de-carcel-para-acusados-de-asesinato-por-error.html,El fiscal pide hasta 23 años de cárcel para acusados de asesinato por ...,"El fiscal pide hasta 23 años de cárcel para acusados de <em>asesinato</em> por error ... en la Audiencia Provincial de <em>Madrid</em> contra Breiner Augusto P.T., Johnson ... de 2014 en la <em>avenida</em> de Córdoba, en el madrileño distrito de Usera. ... Además, ha destacado que José Arbey es coautor de un <em>delito</em> de <em>asesinato</em>&nbsp;...",29 may. 2019
https://valenciaplaza.com/isolux-corsan-era-la-empresa-que-mas-dinero-debia-a-hacienda-al-cierre-de-2018,Isolux Corsán era la empresa que más dinero debía a Hacienda al ...,"<em>MADRID</em> (EP). El Grupo Isolux Corsán y Reyal Urbis eran las dos sociedades con mayores deudas con el fisco a 31 de diciembre de 2018,&nbsp;...",27 jun. 2019
https://www.elperiodico.com/es/yotele/20190628/ana-rosa-carta-victima-manada-7526446,'El programa de Ana Rosa' recibe una nueva carta de la víctima de 'La ...,"Gracias de nuevo a aquellas primeras asociaciones y personas por llevar esto a la <em>calle</em>, formando un eco por todos los rincones de España.",Hace 4 horas
https://www.abc.es/historia/abci-oscuros-anos-30-gesto-represion-republicana-contra-iglesia-espana-201906250153_noticia.html,Los oscuros años 30: así se gestó la represión republicana contra la ...,"... al estallar la Guerra Civil con el <em>asesinato</em> de miles de curas y creyentes. ... De hecho, en el último rezo del Ángelus en la <em>plaza</em> de San Pedro, el Papa Francisco ... En <em>Madrid</em> los disturbios empezaron con la inauguración del Círculo ... se extendieron a la redacción de este diario, sita en la <em>calle</em> Serrano.",24 jun. 2019
https://elcierredigital.com/investigacion/899095272/doble-asesinato-almonte.html,Un nuevo equipo de investigadores de la Guardia Civil estudia el ...,"Pero la familia de María y Miguel Ángel, víctimas del doble <em>crimen</em> de Almonte, ... el principio, buscando al autor de un doble <em>asesinato</em> que todavía busca un culpable. Almonte, provincia de Huelva, <em>avenida</em> de los Reyes. ... aseguraron haberse cruzado con él en la <em>calle</em>, después de las 9 de la noche.",31 may. 2019
https://elcierredigital.com/investigacion/658039694/huida-rey-cachopo-zaragoza.html,Así se fugó de Madrid y camufló su identidad en Zaragoza el Rey del ...,"Así se fugó de <em>Madrid</em> y camufló su identidad en Zaragoza el Rey del Cachopo ... César Román, apodado el Rey del Cachopo y acusado del <em>asesinato</em> de su novia ... en la <em>calle</em> Portugal de Zaragoza, cerca de la estación de tren de ... el escenario del <em>crimen</em> era tal que un policía que entró de paisano,&nbsp;...",30 may. 2019
https://www.elmundo.es/cronica/2019/05/30/5ce7ce1a21efa04b7a8b4649.html,Esclavos vietnamitas y chinos en las plantaciones españolas de ...,"El vietnamita Tuân aparece en la <em>plaza</em> de Legazpi (<em>Madrid</em>) algo desorientado, ... Desde hace cuatro años, el <em>crimen</em> organizado chino ha encontrado otro ... nos encontramos con Tuân, en una estrecha <em>calle</em> del distrito de Usera, está ... Es consciente de que va a cometer un <em>delito</em>, pero acepta bajo unas&nbsp;...",30 may. 2019
https://somosmalasana.elperiodico.com/palacio-infanta-carlota-crimen-calle-fuencarral/,¿En qué lugar de Malasaña se rodó una escena del famoso Crimen ...,"Carpetania <em>Madrid</em>, en la sección Gatos Curiosos nos descubre una ... Estamos hablando del palacio de la Infanta Carlota, en la <em>calle</em> de la&nbsp;...",11 nov. 2018
https://www.elmundo.es/madrid/2019/02/18/5c69b075fdddff81288b4681.html,Los dos hermanos asesinados en el crimen de Colmenarejo tenían ...,"Noticias · <em>Madrid</em> Central ... El autor del doble <em>crimen</em> fue Alejandro P. P., de 30 años que tras el ... tirándose desde la azotea de un edificio de <em>Plaza</em> de Castilla. ... en la urbanización <em>Parque</em> Azul situada en el número 38 de la <em>calle</em> de la ... este lunes un día de luto oficial por el <em>asesinato</em> de sus dos vecinos&nbsp;...",19 feb. 2019
https://www.abc.es/espana/madrid/abci-canibal-guindalera-crimen-mas-atroz-historia-espana-para-policia-201902240054_noticia.html,El caníbal de La Guindalera: el crimen más atroz de la Historia de ...,"El caníbal de La Guindalera: el <em>crimen</em> más atroz de la Historia de España ... Sus objetivos eran vidas sesgadas, gente de la <em>calle</em>: una prostituta e indigentes. ... Muchos lo situaban en el <em>parque</em> cercano de Eva Duarte de Perón. ... la magistrada titular de Juzgado de Instrucción número 7 de <em>Madrid</em> acordó&nbsp;...",23 feb. 2019
https://www.elmundo.es/madrid/2019/03/20/5c928c58fc6c831c5f8b459b.html,Atacan la casa del clan implicado en el crimen de un hombre en ...,"La ira volvió a desatarse el miércoles de nuevo entre los vecinos del Pozo Tío Raimundo, en Puente de Vallecas, después de que un hombre&nbsp;...",20 mar. 2019
https://elpais.com/politica/2018/11/06/actualidad/1541508078_589338.html,ETA asume el asesinato de 13 personas en la calle del Correo de ...,ETA asume el <em>asesinato</em> de 13 personas en la <em>calle</em> del Correo de ... como el de la cafetería Rolando de la <em>calle</em> del Correo de <em>Madrid</em> en 1974.,6 nov. 2018
https://www.abc.es/espana/madrid/abci-crimen-cobena-cerco-policial-clan-dominicano-implicado-asesinato-201905040013_noticia.html,Crimen de Cobeña: cerco policial al clan dominicano implicado en el ...,Cerco al clan de dominicanos implicado en el <em>crimen</em> de Cobeña. La Guardia Civil detuvo este viernes a un segundo sospechoso de la muerte&nbsp;...,3 may. 2019
https://www.abc.es/espana/madrid/abci-octogenario-asesino-ciudad-lineal-no-tenia-denuncias-violencia-machista-201903090051_noticia.html,Crimen en Ciudad Lineal: el octogenario asesino no tenía denuncias ...,"En el Día Internacional de la Mujer, una fecha en la que cientos de miles de personas se echaron a la <em>calle</em> para reivindicar la igualdad de&nbsp;...",9 mar. 2019
https://www.abc.es/espana/madrid/abci-anciana-fuenlabrada-asesinada-golpes-201905241006_noticia.html,Crimen de la anciana: el cadáver presentaba varias cuchilladas en el ...,"La anciana de 84 años que fue asesinada el pasado miércoles en su domicilio de la <em>calle</em> Los Ángeles, 6, en Fuenlabrada, tenía un fuerte&nbsp;...",24 may. 2019
http://www.telemadrid.es/programas/buenos-dias-madrid/familia-muerto-Vallecas-asesinato-2-2104609520--20190318090204.html,"La familia del muerto en Vallecas: ""Ha sido un asesinato""","Ocurrió en la <em>calle</em> Esteban Carros del distrito de Puente de Vallecas, ... Tras cruzarse una palabras, ""se fueron para el <em>parque</em> para llevara los&nbsp;...",18 mar. 2019
https://www.abc.es/espana/madrid/abci-venganza-sangre-y-fuego-contra-clan-visita-asesinos-fuera-vallecas-201903210052_noticia.html,La venganza a «sangre y fuego» contra el clan de Los Visita ...,"«Hacen hogueras y se creen los dueños de la <em>calle</em>. ... otra joven, con una consigna de guerra clara: «Esto no es racismo, es un <em>asesinato</em>».",21 mar. 2019
http://www.telemadrid.es/programas/telenoticias-fin-de-semana/Alcala-repudia-asesinato-aparecio-desmembrada-2-2093810613--20190210032414.html,Alcalá repudia el asesinato de la joven que apareció desmembrada ...,"Onda <em>Madrid</em> .... mañana en la <em>Plaza</em> de Cervantes de Alcalá de Henares en repulsa ... En su manifiesto las convocantes han recordado que ""el <em>asesinato</em> de ... en la madrugada del pasado viernes como presunto autor del <em>crimen</em>, ... el interior de un arcón congelador en el número 3 de la <em>calle</em> Camino de&nbsp;...",10 feb. 2019
https://www.lavanguardia.com/sucesos/20190521/462395738545/mujer-asesinato-barcelona-avenida-mistral-mosos.html,Un detenido por el asesinato de una menor en Barcelona,"Un detenido por el <em>asesinato</em> de una menor en Barcelona ... en el interior de una cafetería de la <em>avenida</em> de Mistral de Barcelona, en el distrito del Eixample. ... detenido poco después del <em>crimen</em> por una patrulla de la Guardia Urbana en ... Había protagonizado una pelea en mitad de la <em>calle</em> con su chica.",21 may. 2019
https://www.abc.es/espana/madrid/abci-crimen-visita-vallecas-entrega-chule-asesinato-vecino-pozo-201903271422_noticia.html,Crimen de Los Visita en Vallecas: se entrega «El Chule» por el ...,"El presunto autor del <em>crimen</em> del Pozo del Tío Raimundo, Jesús Campos, de 20 años, alias «El Chule», ha sido detenido tras entregarse este&nbsp;...",27 mar. 2019
https://www.elmundo.es/madrid/2019/03/08/5c827d54fc6c83ae0f8b45d6.html,Un anciano mata a su mujer de un tiro y luego se suicida,"Luis Díaz Pintado, de 81 años, acabó este viernes de un tiro de escopeta en la cabeza con su mujer, Estrella Domínguez Menéndez, de 63&nbsp;...",8 mar. 2019
https://elpais.com/ccaa/2018/10/12/madrid/1539371040_549178.html,Matar por siete euros,"Frente al <em>parque</em> infantil, en una construcción con techo pero sin ... Asegura que el <em>crimen</em> se cometió por siete euros que le ... En efecto, Florin no dormía solo la noche del <em>asesinato</em>, aunque los atacantes pudieran creer que sí. ... Duermen a la intemperie en cualquier recoveco de <em>Madrid</em> pero a las horas&nbsp;...",12 oct. 2018
https://www.lavanguardia.com/local/madrid/20190403/461441380558/chule-crimen-vallecas-declara-primera-vez.html,"El Chule, autor del crimen de Vallecas, declara por primera vez ante ...","El Juzgado de Instrucción número 44 de <em>Madrid</em> decretó la semana pasada la ... de 20 años, declaración en los calabozos de los juzgados de <em>Plaza</em> Castilla. ... Sobre el arrestado pesa la imputación de un <em>delito</em> de homicidio y otro ... por el <em>asesinato</em> de un vecino del barrio de El Pozo del Tío Raimundo,&nbsp;...",2 abr. 2019
https://www.lavanguardia.com/local/madrid/20190513/462201174488/juicio-sicarios-madrid-asesinato-error.html,Juicio a tres sicarios por asesinar a un hombre por error en Madrid,"La Audiencia Provincial de <em>Madrid</em> juzga desde hoy a tres hombres que se ... Los hechos ocurrieron el 12 de septiembre de 2014 en la <em>Avenida</em> de Córdoba, en el ... Luego, siempre según el fiscal, se pasó por la zona del <em>crimen</em> para ... A los otros dos los considera coautores de un <em>delito</em> de <em>asesinato</em> y a&nbsp;...",13 may. 2019
https://www.elespanol.com/reportajes/20190525/mariona-degollada-dueno-bar-socorrio-discutir-novio/401210259_0.html,"Así era M., degollada por el dueño del bar '69' que la 'socorrió' al ...","... peor lugar posible, la <em>avenida</em> Mistral de Barcelona, cerca de <em>plaza</em> de España y del Paralelo. ... Pero, a posteriori, listo para cometer un <em>crimen</em>, para degollarla sin ... de una boda que acabó con la vida de 'Rana' y 'Juanki' en <em>Madrid</em> ... Pero, ay, fue pasar por esa <em>calle</em> y que todo, de repente, se truncara.",25 may. 2019
https://www.miracorredor.tv/novedades-sobre-el-macabro-crimen-del-joven-canibal-detenido-en-madrid/,Novedades sobre el macabro crimen del joven caníbal detenido en ...,"Alberto, el joven de 26 años detenido el jueves en <em>Madrid</em> mató a su ... C del número 50 de la <em>calle</em> de Francisco Navacerrada, en el distrito de&nbsp;...",22 feb. 2019
https://www.elmundo.es/madrid/2019/04/11/5cae1820fc6c83f0288b462b.html,Cuatro jóvenes detenidos por delito de odio tras agredir a un ...,Cuatro jóvenes detenidos por <em>delito</em> de odio tras agredir a un discapacitado ... la víctima caminaba a media tarde por la <em>calle</em> Juan Español de Usera. ... del grado de discapacidad expedida por la Comunidad de <em>Madrid</em>.,10 abr. 2019
https://www.abc.es/espana/madrid/abci-crimen-parla-asesino-juana-vivia-ella-pese-tener-orden-alejamiento-201905060051_noticia.html,Crimen de Parla: el asesino de Juana vivía con ella pese a tener una ...,"<em>Crimen</em> de Parla: el asesino de Juana vivía con ella pese a tener una orden ... 2º A del portal 6, del número 20 de la <em>calle</em> de los Reyes Católicos (Parla). ... este mediodía un minuto de silencio en repulsa por el <em>asesinato</em>. Por su parte, el presidente en funciones de la Comunidad de <em>Madrid</em>, Pedro Rollán,&nbsp;...",5 may. 2019
https://elpais.com/ccaa/2019/02/22/madrid/1550837717_099596.html,"Un hombre mata a su madre, la descuartiza y se come parte de ella","... del <em>crimen</em>, la vivienda familiar situada en el número 50 de la <em>calle</em> ... tras negarse a declarar en la Jefatura Superior de Policía de <em>Madrid</em>,&nbsp;...",22 feb. 2019
https://www.abc.es/espana/madrid/abci-crimen-vallecas-ley-silencio-gitana-agrava-tension-contra-clanes-pozo-201903230152_noticia.html,La «ley del silencio» gitana agrava la tensión contra los clanes del Pozo,"En los mentideros del Pozo, una teoría cobra fuerza con el paso de los días: «Si el <em>crimen</em> hubiera sido entre dos familias gitanas, el patriarca&nbsp;...",22 mar. 2019
https://www.elperiodico.com/es/madrid/20190325/asesinato-machista-loeches-mata-mujer-suicida-7372271,Asesinato machista en Loeches: mata a su mujer y después se suicida,"Un portavoz de Emergencias 112 Comunidad de <em>Madrid</em> ha ... avisaba de que en un domicilio -ubicado en la <em>calle</em> José Sanclemente Rey, en&nbsp;...",25 mar. 2019
