CALLE,DE,ADRIANO DE UTRECHT,ADRIANO DE UTRECHT,40.49557778,3.662244444
CALLE,DE LA,ADUANA,ADUANA,40.41812778,3.701461111
CALLE,DE LA,AERONAVE,AERONAVE,40.46931944,3.585986111
CAMINO,DEL,AEROPUERTO,AEROPUERTO,40.44907778,3.549077778
CALLE,DEL,AFECTO,AFECTO,40.36098611,3.694319444
CALLE,DE LOS,AFLUENTES,AFLUENTES,40.35021111,3.700211111
CALLE,DE,AFUERAS A SAN ROQUE,AFUERAS A SAN ROQUE,40.49497222,3.694972222
CALLE,DE,AFUERAS A VALVERDE,AFUERAS A VALVERDE,40.49886667,3.698866667
CALLE,DE,AGAMI,AGAMI,40.44059444,3.640594444
CALLE,DE,AGASTIA,AGASTIA,40.44298889,3.642988889
CALLE,DE,AGATA,ÁGATA,40.3468,3.713466667
CALLE,DE,AGATHA CHRISTIE,AGATHA CHRISTIE,40.50044167,3.633775
CALLE,DEL,AGAVE,ÁGAVE,40.46495278,3.714952778
CALLE,DE,AGES,AGÉS,40.50503056,3.671697222
CALLE,DE,AGILA,AGILA,40.40788889,3.741222222
CALLE,DE,AGOSTO,AGOSTO,40.44205833,3.575391667
CALLE,DEL,AGRACEJO,AGRACEJO,40.46624167,3.716241667
CALLE,DE,AGRAMUNT,AGRAMUNT,40.47052778,3.587194444
CALLE,DE,AGREDA,ÁGREDA,40.46640833,3.666408333
CALLE,DEL,AGUACATE,AGUACATE,40.37268056,3.739347222
PLAZA,DEL,AGUADOR,AGUADOR,40.37699444,3.743661111
CALLE,DE,AGUADULCE,AGUADULCE,40.47155833,3.588225
CALLE,DE,AGUARON,AGUARÓN,40.465175,3.798508333
CALLE,DE LAS,AGUAS,AGUAS,40.41034444,3.710344444
CALLE,DE,AGUAVIVA,AGUAVIVA,40.44921667,3.565883333
CALLE,DE,AGUEDA DIEZ,ÁGUEDA DÍEZ,40.38923056,3.722563889
CALLE,DE,AGUETOL,AGUETOL,40.47030278,3.586969444
CALLE,DEL,AGUILA,ÁGUILA,40.41003333,3.710033333
CALLE,DE,AGUILAFUENTE,AGUILAFUENTE,40.46177778,3.711777778
CALLE,DE,AGUILAR DE CAMPOO,AGUILAR DE CAMPOO,40.46263611,3.729302778
CALLE,DE,AGUILAR DEL RIO,AGUILAR DEL RÍO,40.3719,3.755233333
CALLE,DE LAS,AGUILEÑAS,AGUILEÑAS,40.46544444,3.698777778
CALLE,DE,AGUILON,AGUILÓN,40.397875,3.714541667
CALLE,DE,AGUIRRE,AGUIRRE,40.42195833,3.671958333
CALLE,DE LA,AGUJA,AGUJA,40.42656667,3.626566667
CALLE,DE,AGUSTIN CALVO,AGUSTÍN CALVO,40.46343056,3.663430556
CALLE,DE,AGUSTIN DE BETANCOURT,AGUSTÍN DE BETANCOURT,40.442075,3.692075
CALLE,DE,AGUSTIN DE FOXA,AGUSTÍN DE FOXÁ,40.46730278,3.683969444
CALLE,DE,AGUSTIN DE ITURBIDE,AGUSTÍN DE ITURBIDE,40.46876944,3.635436111
CALLE,DE,AGUSTIN DE ROJAS,AGUSTÍN DE ROJAS,40.44587778,3.679211111
CALLE,DE,AGUSTIN DURAN,AGUSTÍN DURÁN,40.43496944,3.668302778
CALLE,DE,AGUSTIN GARCIA MALLA,AGUSTÍN GARCÍA MALLA,40.38151944,3.614852778
PLAZA,DE,AGUSTIN GONZALEZ,AGUSTÍN GONZÁLEZ,40.42756389,3.644230556
CALLE,DE,AGUSTIN LARA,AGUSTÍN LARA,40.45736944,3.774036111
CALLE,DE,AGUSTIN QUEROL,AGUSTÍN QUEROL,40.40754167,3.690875
CALLE,DE,AGUSTIN RODRIGUEZ BONAT,AGUSTÍN RODRÍGUEZ BONAT,40.394,3.727333333
CALLE,DE,AGUSTIN VIÑAMATA,AGUSTÍN VIÑAMATA,40.40085,3.667516667
CALLE,DE,AGUSTINA DE ARAGON,AGUSTINA DE ARAGÓN,40.431675,3.681675
CALLE,DE,AGUSTINA FIERRA,AGUSTINA FIERRA,40.37126389,3.737930556
CALLE,DE LOS,AHIJONES,AHIJONES,40.37831389,3.661647222
PASAJE,DE,AHILLONES,AHILLONES,40.47528611,3.658619444
AVENIDA,DE LOS,AHONES,AHONES,40.452425,3.635758333
PLAZA,DEL,AHORRO,AHORRO,40.36170833,3.695041667
CALLE,DE LOS,AHUMAOS,AHUMAOS,40.39338056,3.593380556
CALLE,DEL,AILANTO,AILANTO,40.46908611,3.685752778
CALLE,DE,AINSA,AÍNSA,40.42982778,3.613161111
CALLE,DEL,AIRE,AIRE,40.47109444,3.587761111
CALLE,DE,AIZGORRI,AIZGORRI,40.42151111,3.654844444
CALLE,DE,AJALVIR,AJALVIR,40.455025,3.705025
